,cluster,Cai,distancia,tiempo,CriminalidadLocalidad
16893,59.0,Cai Villa Del Prado ,0.9 km,5,10.23806100125259
16899,59.0,Cai San José De Bavaria ,1.9 km,7,10.23806100125259
16960,238.0,Cai Lourdes ,1.1 km,5,2.878816391520804
17074,238.0,Estación Teusaquillo ,2.5 km,8,2.878816391520804
17097,238.0,Cai San Luis ,1.2 km,4,2.878816391520804
17244,217.0,Cai Soledad ,0.8 km,4,2.878816391520804
17246,217.0,Cai Galerias ,1.4 km,7,2.878816391520804
17251,217.0,Cai Teusaquillo ,1.5 km,6,2.878816391520804
17254,217.0,Estación Teusaquillo ,1.0 km,4,2.878816391520804
17266,217.0,Cai Samper Mendoza ,2.0 km,8,2.878816391520804
17303,253.0,Cai Lourdes ,0.4 km,2,13.811828262289291
17310,253.0,Cai Granada ,1.4 km,7,13.811828262289291
17314,253.0,Cai Chile ,1.7 km,7,13.811828262289291
17316,253.0,Cai Chapinero ,1.8 km,8,13.811828262289291
17433,253.0,Cai San Luis ,1.8 km,8,13.811828262289291
17464,60.0,Estación Usaquén  ,0.6 km,3,4.601013191631184
17467,60.0,Cai Villa Nidia ,0.8 km,4,4.601013191631184
17476,60.0,Cai Toberin ,1.5 km,7,4.601013191631184
17584,60.0,Cai Mazuren ,2.3 km,7,4.601013191631184
17722,65.0,Cai Delicias ,1.5 km,6,15.525693658555944
17729,65.0,Cai Villa Claudia ,0.9 km,4,15.525693658555944
17788,65.0,Cai Tejar ,2.6 km,8,15.525693658555944
17859,61.0,Cai Danubio Azul ,1.3 km,6,3.9049283849637786
17861,61.0,Cai Santa Martha ,1.2 km,7,3.9049283849637786
17963,61.0,Cai Dianaturbay ,1.3 km,6,3.9049283849637786
17972,61.0,Cai Los Molinos ,2.0 km,7,3.9049283849637786
17980,61.0,Cai Palermo Sur ,0.6 km,3,3.9049283849637786
18110,139.0,Cai Siete De Agosto ,3.0 km,5,2.878816391520804
18112,139.0,Cai Galerias ,1.3 km,4,2.878816391520804
18123,139.0,Cai Federman ,2.4 km,5,2.878816391520804
18131,139.0,Cai San Luis ,2.5 km,7,2.878816391520804
18132,139.0,Cai Samper Mendoza ,3.0 km,7,2.878816391520804
18133,139.0,Cai Soledad ,1.4 km,6,2.878816391520804
18256,66.0,Cai Santa María Del Lago ,1.9 km,7,7.220870423971701
18262,66.0,Cai Serena ,1.7 km,5,7.220870423971701
18489,193.0,Cai Dianaturbay ,2.0 km,8,3.9049283849637786
18493,193.0,Cai Lomas ,2.1 km,8,3.9049283849637786
18497,193.0,Cai Los Molinos ,0.2 km,1,3.9049283849637786
18672,183.0,Estación Ciudad Bolívar ,0.8 km,3,4.557375710240918
18677,183.0,Cai Perdomo ,2.3 km,8,4.557375710240918
18678,183.0,Cai La Candelaria ,1.1 km,3,4.557375710240918
18681,183.0,Cai Arborizadora Alta ,0.9 km,3,4.557375710240918
18682,183.0,Cai San Francisco ,2.0 km,6,4.557375710240918
18734,62.0,Cai Villa Del Rio ,1.8 km,5,15.525693658555944
18759,62.0,Cai Timiza ,3.2 km,7,15.525693658555944
18899,63.0,Cai Antonio José De Sucre ,3.5 km,8,1.563767675016456
18901,63.0,Cai Nuevo Porvenir ,0.8 km,3,1.563767675016456
